 ,Area,Min,Max,Median,Slice
569,50,13288,13532,13421,2609
570,50,13238,13507,13396,2610
571,50,13259,13502,13392,2611
572,50,13269,13516,13418,2612
573,50,13279,13524,13421,2613
574,50,13273,13509,13412,2614
575,50,13272,13519,13419,2615
576,50,13275,13525,13416,2616
577,50,13291,13527,13405,2617
578,50,13291,13533,13420,2618
579,50,13299,13534,13414,2619
580,50,13310,13556,13432,2620
581,50,13311,13561,13441,2621
582,50,13313,13550,13439,2622
583,50,13296,13537,13436,2623
584,50,13291,13542,13411,2624
585,50,13222,13465,13388,2625
586,50,13283,13507,13398,2626
587,50,13235,13492,13382,2627
588,50,13268,13497,13399,2628
589,50,13291,13517,13410,2629
590,50,13152,13493,13366,2630
591,50,13188,13489,13363,2631
592,50,13239,13478,13358,2632
593,50,13241,13466,13361,2633
594,50,13255,13507,13390,2634
595,50,13264,13509,13384,2635
596,50,13209,13443,13357,2636
597,50,13238,13456,13371,2637
598,50,13239,13459,13374,2638
599,50,13225,13439,13373,2639
600,50,13248,13484,13392,2640
601,50,13243,13502,13402,2641
602,50,13276,13537,13392,2642
603,50,13266,13545,13388,2643
604,50,13308,13552,13404,2644
605,50,13330,13565,13413,2645
606,50,13309,13576,13407,2646
607,50,13314,13539,13395,2647
608,50,13322,13545,13392,2648
609,50,13345,13590,13417,2649
610,50,13341,13599,13425,2650
611,50,13336,13596,13427,2651
612,50,13324,13601,13418,2652
613,50,13341,13590,13423,2653
614,50,13336,13573,13432,2654
615,50,13354,13600,13450,2655
616,50,13356,13587,13439,2656
617,50,13311,13522,13413,2657
618,50,13295,13544,13427,2658
619,50,13317,13557,13432,2659
620,50,13274,13546,13427,2660
621,50,13279,13556,13418,2661
622,50,13302,13541,13411,2662
623,50,13297,13523,13400,2663
624,50,13308,13578,13421,2664
625,50,13303,13584,13411,2665
626,50,13321,13586,13432,2666
627,50,13270,13515,13399,2667
628,50,13282,13523,13403,2668
629,50,13268,13516,13402,2669
630,50,13292,13521,13403,2670
631,50,13290,13510,13410,2671
632,50,13301,13544,13418,2672
633,50,13330,13560,13435,2673
634,50,13344,13591,13424,2674
635,50,13363,13593,13439,2675
636,50,13345,13591,13425,2676
637,50,13344,13598,13444,2677
638,50,13352,13598,13442,2678
639,50,13334,13578,13430,2679
640,50,13345,13575,13423,2680
641,50,13312,13554,13414,2681
642,50,13300,13546,13406,2682
643,50,13315,13539,13417,2683
644,50,13303,13547,13410,2684
645,50,13310,13550,13418,2685
646,50,13317,13554,13425,2686
647,50,13312,13538,13418,2687
648,50,13326,13538,13400,2688
649,50,13316,13534,13404,2689
650,50,13325,13552,13401,2690
651,50,13312,13542,13391,2691
652,50,13283,13494,13384,2692
653,50,13301,13553,13393,2693
654,50,13312,13556,13399,2694
655,50,13323,13548,13396,2695
656,50,13303,13543,13398,2696
657,50,13289,13518,13395,2697
658,50,13277,13556,13396,2698
659,50,13323,13547,13404,2699
660,50,13271,13524,13391,2700
661,50,13283,13504,13391,2701
662,50,13272,13536,13379,2702
663,50,13282,13495,13376,2703
664,50,13287,13500,13378,2704
665,50,13287,13504,13378,2705
666,50,13282,13547,13382,2706
667,50,13277,13478,13374,2707
668,50,13287,13506,13381,2708
669,50,13322,13589,13399,2709
670,50,13297,13553,13378,2710
671,50,13324,13585,13389,2711
672,50,13321,13570,13388,2712
673,50,13301,13557,13378,2713
674,50,13309,13579,13386,2714
675,50,13310,13546,13384,2715
676,50,13328,13567,13384,2716
677,50,13329,13535,13391,2717
678,50,13326,13521,13386,2718
679,50,13262,13434,13367,2719
680,50,13253,13476,13378,2720
681,50,13272,13485,13381,2721
682,50,13235,13476,13366,2722
683,50,13236,13449,13362,2723
684,50,13264,13485,13374,2724
685,50,13271,13460,13372,2725
686,50,13270,13454,13367,2726
687,50,13273,13450,13362,2727
688,50,13239,13434,13355,2728
689,50,13235,13430,13357,2729
690,50,13234,13438,13339,2730
