 ,Area,Min,Max,Median,Slice
532,50,13621,13920,13854,770
533,50,13643,13925,13868,771
534,50,13725,13909,13867,772
535,50,13620,13902,13845,773
536,50,13605,13883,13836,774
537,50,13621,13880,13831,775
538,50,13605,13888,13801,776
539,50,13624,13885,13806,777
540,50,13592,13878,13809,778
541,50,13654,13880,13809,779
542,50,13607,13880,13806,780
543,50,13582,13889,13817,781
544,50,13581,13875,13803,782
545,50,13584,13872,13807,783
546,50,13593,13889,13795,784
547,50,13614,13894,13800,785
548,50,13646,13902,13810,786
549,50,13606,13919,13814,787
550,50,13592,13913,13828,788
551,50,13631,13931,13832,789
552,50,13615,13935,13829,790
553,50,13601,13943,13847,791
554,50,13681,13936,13857,792
555,50,13622,13928,13846,793
556,50,13683,13940,13868,794
557,50,13673,13968,13873,795
558,50,13701,13960,13860,796
559,50,13680,13950,13859,797
560,50,13688,13970,13864,798
561,50,13687,13963,13873,799
562,50,13719,13966,13883,800
563,50,13715,13966,13880,801
564,50,13723,13967,13880,802
565,50,13701,13972,13880,803
566,50,13680,13982,13868,804
567,50,13652,13969,13861,805
568,50,13648,13961,13863,806
569,50,13631,13965,13860,807
570,50,13688,13957,13893,808
571,50,13661,13948,13869,809
572,50,13646,13960,13868,810
573,50,13661,13971,13865,811
574,50,13676,13969,13882,812
575,50,13672,13973,13888,813
576,50,13672,13976,13847,814
577,50,13663,13967,13870,815
578,50,13667,13962,13900,816
579,50,13644,13962,13866,817
580,50,13644,13957,13842,818
581,50,13684,13960,13888,819
582,50,13660,13954,13874,820
583,50,13713,13819,13750,821
584,50,13663,13825,13760,947
585,50,13554,13793,13709,948
586,50,13391,13736,13535,949
587,50,13376,13714,13517,950
588,50,13378,13826,13613,951
589,50,13419,13857,13624,952
590,50,13423,13856,13645,953
591,50,13430,13861,13649,954
592,50,13449,13885,13666,955
593,50,13485,13893,13678,956
594,50,13422,13869,13686,957
595,50,13458,13841,13686,958
596,50,13481,13898,13705,959
597,50,13468,13778,13657,960
598,50,13460,13759,13606,961
599,50,13453,13827,13652,962
600,50,13481,13890,13673,963
601,50,13525,13935,13718,964
602,50,13537,13920,13708,965
603,50,13519,13807,13674,966
604,50,13520,13864,13687,967
605,50,13537,13879,13708,968
606,50,13556,13945,13721,969
