group;ID;video_file;sub_stack;Slice;Median;seqID;time;m.center;filteredsignal;filt_med;peak;phase;Intensity;Distance;Slope;type;NF;Call.duration;breathidx
2;3;374;IR_2019-06-15_0374_out.csv;2785;125672184;IR_2019-06-15_0374_out.csv 3;9283333333;333718108;299813001;1253331329;36;1;0.578723235;0.966666667;-0.27993585;n;n;;2
2;3;374;IR_2019-06-15_0374_out.csv;2804;1086118378;IR_2019-06-15_0374_out.csv 4;9346666667;124036258;275975946;1101312347;5;1;0.316435596;0.366666667;-1.215826154;n;n;;1
2;3;374;IR_2019-06-15_0374_out.csv;2814;1198849516;IR_2019-06-15_0374_out.csv 3;938;-245005127;-210302875;1202319742;65;2;0.49510503;0.233333333;2.206073163;n;n;;2
2;3;374;IR_2019-06-15_0374_out.csv;2815;1054474819;IR_2019-06-15_0374_out.csv 4;9383333333;-192399337;-149068105;1058807942;16;2;0.767552392;0.633333333;0.968073054;n;n;;1
2;3;374;IR_2019-06-15_0374_out.csv;2821;1248360019;IR_2019-06-15_0374_out.csv 3;9403333333;250099903;156949095;1239044939;72;3;0.050181225;1.633333333;0.02420996;n;n;;2
2;3;374;IR_2019-06-15_0374_out.csv;2834;1131230058;IR_2019-06-15_0374_out.csv 4;9446666667;575153054;388851865;1112599939;35;3;0.272070261;1.133333333;0.10131028;n;n;;1
2;3;374;IR_2019-06-15_0374_out.csv;2868;1104023032;IR_2019-06-15_0374_out.csv 4;956;303082793;436318786;1117346631;69;1;1.426335381;0.633333333;-2.213026881;n;n;;2
2;3;374;IR_2019-06-15_0374_out.csv;2870;1253378142;IR_2019-06-15_0374_out.csv 3;9566666667;300281127;254621419;1248812171;121;1;1.136646664;0.566666667;-1.518600188;n;n;;3
2;3;374;IR_2019-06-15_0374_out.csv;2887;1139713475;IR_2019-06-15_0374_out.csv 3;9623333333;-836365537;-632282369;1160121792;138;2;1.002761266;0.4;2.319487516;n;n;;3
2;3;374;IR_2019-06-15_0374_out.csv;2887;9613894936;IR_2019-06-15_0374_out.csv 4;9623333333;-1123252588;-930302847;9806844677;88;2;1.025058868;0.566666667;1.521831688;n;n;;2
2;3;374;IR_2019-06-15_0374_out.csv;2899;1239989602;IR_2019-06-15_0374_out.csv 3;9663333333;166395729;179439589;1241293988;150;3;0.083704173;1.5;-0.002006044;n;n;;3
2;3;374;IR_2019-06-15_0374_out.csv;2904;106389538;IR_2019-06-15_0374_out.csv 4;968;-9819372;-128882909;1060826461;105;3;0.171000603;0.8;0.508428938;n;n;;2
2;3;374;IR_2019-06-15_0374_out.csv;2928;1080995441;IR_2019-06-15_0374_out.csv 4;976;72806883;139531287;1087667881;129;1;0.393846752;0.166666667;-2.494423637;n;n;;3
2;3;374;IR_2019-06-15_0374_out.csv;2933;1041610765;IR_2019-06-15_0374_out.csv 4;9776666667;-321039869;-179075841;1055807168;134;2;0.921652536;0.233333333;2.50257843;n;n;;3
2;3;374;IR_2019-06-15_0374_out.csv;2940;1133776019;IR_2019-06-15_0374_out.csv 4;98;600612667;273507458;1101065498;141;3;0.39979343;0.133333333;-2.628549793;n;n;;3
2;3;374;IR_2019-06-15_0374_out.csv;2944;1248360019;IR_2019-06-15_0374_out.csv 3;9813333333;250099903;202262432;1243576272;195;1;0.781797658;0.566666667;-1.16246626;n;n;;4
2;3;374;IR_2019-06-15_0374_out.csv;2944;1093796676;IR_2019-06-15_0374_out.csv 4;9813333333;200819237;322610604;1105975813;145;1;0.762541271;0.533333333;-1.779128064;n;n;;4
2;3;374;IR_2019-06-15_0374_out.csv;2960;1017542549;IR_2019-06-15_0374_out.csv 4;9866666667;-561722034;-563981523;10173166;161;2;0.771068195;0.733333333;0.943674733;n;n;;4
2;3;374;IR_2019-06-15_0374_out.csv;2961;1170180254;IR_2019-06-15_0374_out.csv 3;987;-531697756;-519380628;1171411966;212;2;0.362412458;0.3;1.514106943;n;n;;4
2;3;374;IR_2019-06-15_0374_out.csv;2970;1206421499;IR_2019-06-15_0374_out.csv 3;99;-169285297;-11225168;1212124861;221;3;0.201574956;1.3;0.131276995;n;n;;4
2;3;374;IR_2019-06-15_0374_out.csv;2982;1094649368;IR_2019-06-15_0374_out.csv 4;994;209346161;322102847;1105925037;183;3;0.348829357;0.966666667;-0.021437542;n;n;;4
2;3;374;IR_2019-06-15_0374_out.csv;3009;1226578995;IR_2019-06-15_0374_out.csv 3;1003;32289659;-24503204;1220899709;260;1;0.682332971;0.366666667;-1.995992307;n;n;;5
2;3;374;IR_2019-06-15_0374_out.csv;3011;1129532304;IR_2019-06-15_0374_out.csv 4;1003666667;558175518;395696935;1113284446;212;1;1.490930025;0.3;-5.200404311;n;n;;5
2;3;374;IR_2019-06-15_0374_out.csv;3020;1158345698;IR_2019-06-15_0374_out.csv 3;1006666667;-650043312;-60828723;1162521306;271;2;0.782933249;0.366666667;2.20552708;n;n;;5
2;3;374;IR_2019-06-15_0374_out.csv;3020;9804393016;IR_2019-06-15_0374_out.csv 4;1006666667;-932754507;-878462864;985868466;221;2;1.2358373;0.8;1.22004274;n;n;;5
2;3;374;IR_2019-06-15_0374_out.csv;3031;1236639023;IR_2019-06-15_0374_out.csv 3;1010333333;132889937;11628906;1234978935;282;3;0.150947141;0.7;-0.236476573;n;n;;5
2;3;374;IR_2019-06-15_0374_out.csv;3044;1104023032;IR_2019-06-15_0374_out.csv 4;1014666667;303082793;376800282;1111394781;245;3;0.161977321;1.266666667;-0.142342171;n;n;;5
2;3;374;IR_2019-06-15_0374_out.csv;3052;1221544309;IR_2019-06-15_0374_out.csv 3;1017333333;-18057204;42305416;1227580571;303;1;0.370167443;0.7;-0.36726265;n;n;;6
2;3;374;IR_2019-06-15_0374_out.csv;3073;1184527564;IR_2019-06-15_0374_out.csv 3;1024333333;-388224647;-246965512;1198653478;324;2;0.378560753;0.133333333;3.911288627;n;n;;6
2;3;374;IR_2019-06-15_0374_out.csv;3077;122238364;IR_2019-06-15_0374_out.csv 3;1025666667;-9663894;-56582702;1217691759;328;3;0.09226925;0.233333333;-0.057884967;n;n;;6
2;3;374;IR_2019-06-15_0374_out.csv;3082;10878253;IR_2019-06-15_0374_out.csv 4;1027333333;141105473;80774744;1081792227;283;1;0.694219263;0.433333333;-1.181054983;n;n;;6
2;3;374;IR_2019-06-15_0374_out.csv;3084;1231610565;IR_2019-06-15_0374_out.csv 3;1028;82605356;-66942734;1216655756;335;1;0.944411789;0.366666667;-1.736113391;n;n;;7
2;3;374;IR_2019-06-15_0374_out.csv;3095;1137169386;IR_2019-06-15_0374_out.csv 3;1031666667;-861806433;-522492745;1171100755;346;2;NA;NA;NA;n;n;;7
2;3;374;IR_2019-06-15_0374_out.csv;3095;1018403373;IR_2019-06-15_0374_out.csv 4;1031666667;-553113791;-437074193;1030007333;296;2;NA;NA;NA;n;n;;6
